id_student,SumOfsum_click,final_result
100893,250,Pass
101781,891,Pass
102806,486,Pass
102952,242,Pass
1035023,496,Pass
104476,683,Pass
106247,170,Withdrawn
106577,82,Pass
110175,214,Pass
1105478,473,Pass
111717,821,Pass
113295,971,Pass
11391,201,Pass
114017,168,Pass
114999,355,Pass
116541,431,Pass
116692,295,Pass
118983,118,Pass
123044,630,Pass
127582,377,Pass
129955,1086,Withdrawn
132976,94,Pass
134143,671,Distinction
1352868,165,Pass
1352868,165,Withdrawn
135400,70,Pass
135400,70,Withdrawn
137873,1744,Pass
1401935,62,Fail
1402638,154,Pass
141355,451,Pass
141377,136,Pass
141377,136,Withdrawn
1414443,457,Fail
142326,440,Pass
144801,1307,Pass
145130,55,Pass
146188,288,Fail
1465690,878,Pass
1472925,159,Fail
1472925,159,Pass
147756,80,Fail
147756,80,Pass
147793,45,Withdrawn
1488959,800,Pass
148993,593,Pass
148993,593,Withdrawn
151358,29,Pass
1518989,1104,Pass
155550,382,Pass
155854,859,Pass
155984,241,Pass
155984,241,Withdrawn
157568,398,Pass
159954,1218,Withdrawn
1618738,274,Pass
1620151,150,Fail
1626710,1696,Distinction
1640609,1481,Pass
164259,138,Pass
167906,398,Pass
168936,120,Pass
172112,358,Pass
172797,200,Pass
1729319,554,Pass
1746134,733,Pass
174782,1520,Pass
175392,1296,Pass
1758449,1239,Withdrawn
175932,763,Pass
175991,14,Fail
1765788,1616,Pass
1801229,314,Pass
1801641,125,Pass
180753,412,Pass
181316,48,Withdrawn
183096,383,Pass
183947,183,Pass
184271,385,Pass
1847830,1508,Pass
185439,122,Fail
1860318,1541,Pass
186149,523,Pass
187100,1829,Distinction
188278,430,Pass
188278,430,Withdrawn
1889511,467,Pass
1889577,191,Pass
1894188,532,Pass
189879,301,Pass
192183,701,Pass
1938355,404,Pass
1942396,71,Pass
195262,768,Withdrawn
1970390,3754,Pass
1970390,3754,Withdrawn
1976139,250,Pass
200860,89,Pass
2011876,232,Pass
2012966,39,Pass
202635,428,Withdrawn
2051699,507,Pass
205350,420,Pass
205719,47,Fail
2062879,734,Fail
2065691,1396,Withdrawn
2073016,287,Fail
2073016,287,Withdrawn
2080474,305,Pass
2083877,100,Pass
2084066,479,Fail
2104505,160,Pass
2122180,1113,Distinction
2139353,568,Pass
2139353,568,Withdrawn
2143752,486,Pass
2146792,589,Pass
2153153,910,Pass
2155014,250,Pass
2164705,45,Fail
2171627,422,Pass
2182846,1106,Pass
2194100,307,Pass
2197016,446,Pass
2208424,311,Pass
2229865,585,Pass
2255601,873,Withdrawn
2268379,473,Pass
227499,594,Distinction
227517,409,Fail
2278464,39,Pass
228082,56,Pass
228222,203,Pass
229179,191,Pass
229361,285,Pass
2293923,30,Pass
2312620,509,Withdrawn
231554,690,Pass
2329342,89,Pass
2339528,211,Distinction
2342426,351,Fail
2344901,110,Fail
235507,11,Pass
235507,11,Withdrawn
2358056,406,Fail
2358969,61,Pass
2358969,61,Withdrawn
236284,67,Pass
2364471,2127,Pass
2367155,523,Pass
2369266,565,Pass
2376496,162,Pass
238007,382,Pass
2391984,329,Withdrawn
240712,63,Pass
240884,107,Pass
2411661,79,Fail
2411778,217,Withdrawn
2412002,1019,Distinction
2412967,753,Pass
241649,496,Pass
241729,401,Fail
242793,37,Pass
2429854,136,Fail
2429854,136,Withdrawn
2437837,610,Pass
2449878,126,Pass
2456480,33,Fail
2457256,616,Pass
2458355,942,Pass
2460080,739,Pass
2461190,420,Fail
246834,227,Pass
2469673,277,Fail
2470694,889,Fail
2470694,889,Withdrawn
2479954,81,Pass
2481901,431,Pass
248270,437,Pass
2482700,677,Pass
2486127,599,Pass
2498700,413,Pass
